date,temperature,wind_speed,solar_irradiance
20210519,29.03,1.99,4.637
20210520,29.22,1.45,6.1618
20210521,29.02,1.63,4.6327
20210522,29.54,1.82,5.8174
20210523,29.57,1.26,4.8048
20210524,26.71,2.69,3.0559
20210525,25.79,1.6,3.3475
20210526,28.0,1.64,5.3935
20210527,28.55,1.58,6.0348
20210528,28.11,1.48,6.0598
20210529,28.39,1.53,5.6086
20210530,28.97,1.17,6.3314
20210531,30.52,1.14,6.9538
20210601,30.83,1.27,6.613
20210602,30.6,0.81,6.12
20210603,31.3,0.88,6.3991
20210604,26.36,2.61,2.9371
20210605,26.86,1.01,4.9853
20210606,28.1,1.27,5.274
20210607,27.7,1.36,4.7496
20210608,27.81,1.83,4.0049
20210609,28.01,0.94,4.4102
20210610,27.6,1.03,3.6379
20210611,27.96,1.64,4.7266
20210612,28.55,2.37,5.0892
20210613,27.49,4.44,2.9107
20210614,27.93,2.78,4.7911
20210615,28.91,2.01,5.9256
20210616,29.56,1.49,6.7454
20210617,29.6,1.62,7.2497
20210618,30.25,1.44,7.3934
20210619,30.63,1.76,7.6106
20210620,31.03,1.92,7.6454
20210621,30.48,1.29,6.3528
20210622,30.46,0.86,5.519
20210623,28.71,1.01,4.4681
20210624,28.5,1.61,1.5394
20210625,28.26,1.9,3.9979
20210626,28.16,2.29,5.4415
20210627,28.68,1.86,6.6595
20210628,28.36,2.24,5.8018
20210629,29.49,1.28,4.7261
20210630,29.33,1.98,4.9061
20210701,29.22,1.73,5.1271
20210702,29.6,1.74,6.2868
20210703,29.9,1.35,4.6054
20210704,29.86,0.87,5.681
20210705,28.85,1.71,4.925
20210706,28.49,1.61,6.2719
20210707,28.02,1.2,5.387
20210708,27.58,2.95,2.8925
20210709,27.82,2.26,4.74
20210710,27.85,1.55,5.6302
20210711,27.8,1.66,6.5086
20210712,27.83,2.19,6.9154
20210713,28.34,2.36,5.7674
20210714,28.19,2.32,5.9791
20210715,27.86,1.89,6.3583
20210716,27.96,1.39,6.4217
20210717,29.25,0.99,6.4836
20210718,28.96,1.05,2.0474
20210719,28.54,0.7,5.244
20210720,28.61,1.0,5.3078
20210721,28.33,0.93,5.515
20210722,28.28,1.24,3.8102
20210723,27.13,2.45,2.4986
20210724,28.84,2.38,6.1858
20210725,29.26,1.14,5.419
20210726,29.23,1.2,6.2066
20210727,30.0,1.02,6.7822
20210728,29.33,0.96,5.7725
20210729,29.56,1.08,5.9981
20210730,30.13,1.15,6.395
20210731,30.49,1.18,5.5073
20210801,28.92,0.89,3.4363
20210802,28.6,1.4,6.7697
20210803,29.5,1.28,6.6874
20210804,30.59,1.23,6.9787
20210805,30.88,1.66,6.1409
20210806,29.08,2.07,6.4807
20210807,30.32,1.4,6.5441
20210808,30.08,1.09,3.0924
20210809,29.68,1.21,3.6322
20210810,28.56,1.3,3.3324
20210811,27.89,2.22,3.6862
20210812,28.21,1.44,4.6817
20210813,28.51,1.66,5.8373
20210814,27.62,1.53,4.2547
20210815,26.49,1.81,3.0516
20210816,27.93,1.08,5.3633
20210817,28.88,1.06,6.3223
20210818,28.71,1.14,6.9295
20210819,28.43,0.84,5.9206
20210820,28.59,1.38,6.1814
20210821,28.87,1.65,6.3458
20210822,29.28,1.63,6.013
20210823,29.09,1.55,2.7502
20210824,28.92,1.38,4.7777
20210825,28.22,1.68,5.3347
20210826,27.88,1.78,4.8506
20210827,27.55,1.59,4.9613
20210828,26.56,0.94,4.9337
20210829,26.82,0.75,6.3038
20210830,27.28,0.92,5.8385
20210831,27.78,0.65,6.3118
20210901,27.72,0.81,5.9837
20210902,27.61,0.93,4.6478
20210903,27.81,0.87,5.5178
20210904,27.81,1.18,5.5649
20210905,27.21,1.38,4.0051
20210906,27.72,0.81,6.2462
20210907,27.09,1.54,3.013
20210908,26.76,2.29,4.3488
20210909,27.49,1.48,5.0662
20210910,28.36,1.04,6.239
20210911,29.16,1.09,6.6238
20210912,30.01,0.83,6.7162
20210913,28.43,0.83,3.5971
20210914,27.15,1.48,2.1084
20210915,26.78,1.31,2.2733
20210916,26.56,1.07,4.0495
20210917,26.93,1.46,4.4443
20210918,27.0,1.71,5.2584
20210919,27.03,1.23,5.0609
20210920,27.33,0.97,5.2277
20210921,27.13,0.83,6.0679
20210922,26.12,1.2,3.7951
20210923,26.21,1.23,3.9528
20210924,25.88,2.05,2.4802
20210925,26.07,1.9,4.1494
20210926,26.71,1.36,4.7518
20210927,26.14,0.78,5.2226
20210928,27.03,0.88,6.2782
20210929,27.56,0.74,6.1046
20210930,27.53,1.03,5.8747
20211001,27.02,1.2,4.7724
20211002,26.48,1.19,2.3527
20211003,25.77,1.22,4.6368
20211004,26.81,0.89,5.1802
20211005,26.15,1.45,5.4686
20211006,27.15,0.99,5.5056
20211007,27.66,1.58,5.4667
20211008,25.52,2.74,5.8903
20211009,24.13,2.89,2.9911
20211010,24.05,4.37,1.3274
20211011,22.16,3.96,1.1544
20211012,21.15,2.71,5.3597
20211013,20.89,4.1,2.0911
20211014,20.81,5.47,1.1095
20211015,21.93,3.13,1.0982
20211016,19.98,3.86,1.3814
20211017,18.57,3.54,2.8562
20211018,18.31,2.08,1.7328
20211019,22.08,1.18,3.3458
20211020,25.34,1.92,2.6789
20211021,20.44,2.76,1.3942
20211022,17.73,2.28,2.1257
20211023,18.23,1.8,4.5038
20211024,19.18,1.65,3.461
20211025,20.4,1.19,4.8998
20211026,21.64,0.88,4.4741
20211027,21.87,1.61,4.9896
20211028,20.91,1.42,1.5674
20211029,22.26,1.82,1.2804
20211030,20.3,2.11,1.2475
20211031,21.04,1.13,1.1789
20211101,22.48,1.57,1.3478
20211102,22.91,1.94,1.0018
20211103,22.84,1.42,2.221
20211104,24.5,1.9,3.2419
20211105,25.25,2.27,3.0132
20211106,25.66,2.18,2.5015
20211107,22.94,2.37,3.3118
20211108,16.5,2.72,2.3215
20211109,15.87,1.4,4.6843
20211110,16.51,1.34,3.6391
20211111,18.42,1.25,5.1478
20211112,18.59,1.8,2.7355
20211113,17.71,1.85,3.4325
20211114,18.3,1.23,3.3012
20211115,19.01,1.07,3.0535
20211116,20.89,1.52,1.0104
20211117,19.67,2.27,0.8705
20211118,18.32,1.47,2.7442
20211119,20.14,1.8,1.5754
20211120,23.05,1.95,1.8401
20211121,24.25,1.97,3.0276
20211122,17.33,3.2,1.4448
20211123,14.39,2.04,2.1103
20211124,14.18,1.77,2.4905
20211125,16.99,1.25,2.771
20211126,18.66,1.54,2.514
20211127,17.93,1.61,3.7013
20211128,18.35,1.34,4.7743
20211129,19.47,1.25,4.7791
20211130,17.74,2.55,4.0454
20211201,14.84,1.78,4.8401
20211202,13.58,1.65,5.0004
20211203,14.92,1.36,4.8526
20211204,15.59,1.24,4.7258
20211205,15.62,1.48,4.4395
20211206,16.2,1.32,4.5665
20211207,15.49,1.26,4.7398
20211208,16.68,1.04,4.0702
20211209,17.7,1.37,1.4863
20211210,18.46,1.25,2.8915
20211211,19.16,1.16,2.4264
20211212,17.97,2.45,2.3878
20211213,15.8,1.74,2.1125
20211214,16.0,0.96,3.0353
20211215,17.81,0.99,1.7741
20211216,19.98,0.6,3.0245
20211217,17.69,2.61,2.8042
20211218,14.11,2.33,3.7133
20211219,13.92,1.67,4.3325
20211220,15.88,1.54,2.3798
20211221,15.74,1.38,3.5359
20211222,16.68,1.27,3.947
20211223,17.39,1.08,3.4771
20211224,18.62,0.79,1.6927
20211225,18.57,1.87,1.7738
20211226,13.85,2.85,0.5419
20211227,9.64,2.49,0.8938
20211228,11.01,1.27,1.9097
20211229,13.17,1.35,1.326
20211230,14.03,1.78,2.0251
20211231,14.79,1.26,1.3046
20220101,15.81,1.51,1.0411
20220102,15.56,1.17,2.1535
20220103,16.5,1.0,2.04
20220104,18.11,1.09,3.0984
20220105,19.02,1.02,2.1566
20220106,19.58,1.69,2.5692
20220107,18.19,1.98,2.1799
20220108,18.12,2.31,0.9458
20220109,14.2,1.85,0.7318
20220110,16.05,1.47,0.9686
20220111,14.81,2.08,2.2678
20220112,15.17,1.07,1.0241
20220113,15.17,1.54,1.0632
20220114,16.28,1.19,1.1923
20220115,18.91,1.54,1.5694
20220116,19.91,2.63,1.4935
20220117,13.36,2.6,1.027
20220118,15.25,1.61,4.315
20220119,14.36,0.93,3.3902
20220120,16.39,1.4,1.3318
20220121,17.8,2.05,0.8292
20220122,20.24,2.32,1.6565
20220123,21.26,0.94,2.6352
20220124,21.16,1.24,3.6598
20220125,19.35,2.2,2.365
20220126,20.03,1.86,1.8658
20220127,21.52,2.58,2.8397
20220128,21.38,2.76,2.5615
20220129,15.32,3.05,0.9185
20220130,11.68,2.47,1.0234
20220131,10.81,2.58,0.8909
20220201,11.8,1.65,1.242
20220202,11.27,2.22,0.8904
20220203,11.52,1.82,1.9819
20220204,12.35,1.97,2.4422
